,name_media,title,summary,link,published
594,Abendzeitung München,AfD-Politikerin Corinna Miazga mit 39 Jahren gestorben,"Die AfD-Politikerin Corinna Miazga ist mit 39 Jahren gestorben. Das bestätigte ein Sprecher der AfD-Bundestagsfraktion am Sonntag in Berlin. Die stellvertretende Fraktionsvorsitzende ihrer Partei im Bundestag und frühere bayerische Landesvorsitzende ""ist nach langem Kampf gegen ihre schwere Krankheit verstorben"", schrieb Partei- und Fraktionschef Tino Chrupalla auf Twitter. In einer Mitteilung der Fraktion hieß es, man verliere mit ihr ""eine engagierte Abgeordnete und treue Mitstreiterin der ersten Stunde"".",https://www.abendzeitung-muenchen.de/bayern/afd-politikerin-corinna-miazga-mit-39-jahren-gestorben-art-882534,"Sun, 26 Feb 2023 18:01:16 +0100"
674,BR,AfD: Neue Radikalität der Sprache,Beim Politischen Aschermittwoch übertrafen sich die Redner der AfD mit Provokationen und verbalen Entgleisungen. Eine neue Radikalität. Mit Kalkül. Eine Analyse.,"https://www.br.de/nachrichten/bayern/afd-neue-radikalitaet-der-sprache,TWsKkSQ",2023-02-26T05:10:23.144+00:00
676,BR,Frühere AfD-Landeschefin Miazga gestorben,Trauer um Corinna Miazga: Die AfD-Bundestagsabgeordnete und frühere bayerische Landesvorsitzende ist im Alter von 39 Jahren gestorben. Sie erlag einer Krebserkrankung.,"https://www.br.de/nachrichten/bayern/fruehere-afd-landeschefin-miazga-gestorben,TWyn1kr",2023-02-26T16:03:18.232+00:00
2129,inFranken,Corinna Miazga: AfD-Politikerin stirbt mit nur 39 Jahren an Krebs,Mit nur 39 Jahren ist die Politikerin Corinna Miazga verstorben. Von 2019 bis 2021 war sie die Bayerische Landesvorsitzende der AfD.,https://www.infranken.de/bayern/corinna-miazga-afd-politikerin-stirbt-mit-nur-39-jahren-an-krebs-art-5649218,"Sun, 26 Feb 2023 18:28:06 +0200"
2326,M�nchner Merkur,„Volksverhetzung“: AfD-Politiker zeigt Büttenredner an,Der Vaterstettener AfD-Kreisrat Manfred Schmidt hat Strafanzeige gegen den Kabarettisten Lars Reichow gestellt. Grund ist dessen AfD-Beschimpfung in der ARD.,https://www.merkur.de/lokales/ebersberg/volksverhetzung-afd-politiker-zeigt-buettenredner-an-manfred-schmidt-92104598.html?cmp=defrss,"Thu, 23 Feb 2023 11:07:30 +0100"
3046,M�nchner Merkur,CSU-Mann Scheuer kritisiert AfD-Ergebnis und nennt Grund für seine Verluste: „Ich wurde unsanft angepackt“,Bundesverkehrsminister Andreas Scheuer kritisierte das Ergebnis der AfD in seiner Heimat Passau. Gleichzeitig fuhr er selbst Verluste ein und nennt dafür Gründe.,https://www.merkur.de/bayern/passau/bundestagswahl-2021-passau-csu-andreas-scheuer-kritik-afd-ergebnis-zr-91006000.html?cmp=defrss,"Tue, 28 Sep 2021 09:05:00 +0200"
3047,M�nchner Merkur,Bundestagswahl 2021 in Passau: Alle Stimmen ausgezählt - CSU klar vorne - AfD wird drittstärkste Kraft,In unserem Ticker verfolgen Sie die Bundestagswahl 2021 in Passau und Niederbayern am Wahltag live. Mit allen News rund um die Abstimmung und Ergebnisse.,https://www.merkur.de/bayern/passau/bundestagswahl-2021-passau-niederbayern-ergebnisse-news-live-ticker-91004602.html?cmp=defrss,"Sun, 26 Sep 2021 23:12:00 +0200"
