,name_media,title,summary,link,published
267,Augsburger Allgemeine,Freie Wähler und JU kritisieren Beiräte-Chaos in Ingolstadt,"„Wenn man nicht mehr weiterweiß, gründet man ´nen Arbeitskreis“: Freie Wähler und JU unterstützen deshalb andere und transparentere Formen der Bürgerbeteiligung in Ingolstadt.",https://www.augsburger-allgemeine.de/neuburg/ingolstadt-freie-waehler-und-ju-kritisieren-beiraete-chaos-in-ingolstadt-id64863511.html,"Tue, 28 Feb 2023 16:46:26 GMT"
654,BR,Untersuchungsausschuss: Opposition wirft CSU und FW Blockade vor,Ging bei der Planung und den Vertragsabschlüssen für das Nürnberger Zukunftsmuseum alles mit rechten Dingen zu? Das prüft aktuell ein Untersuchungsausschuss im Landtag. Die Opposition fordert dafür vergeblich Einsicht in bestimmte Akten.,"https://www.br.de/nachrichten/bayern/untersuchungsausschuss-opposition-wirft-csu-und-fw-blockade-vor,TXAyv7e",2023-02-28T18:45:50.342+00:00
2358,M�nchner Merkur,Große Pläne einer kleinen Wehr: FFW Airischwand möchte ein neues Feuerwehrhaus bauen,"„Es geht nur mit Eigenleistung“: Diese Botschaft gab der Marktrat Nandlstadt der Feuerwehr Airischwand mit auf den Weg, die sich ein neues Feuerwehrhaus wünscht.",https://www.merkur.de/lokales/freising/ffw-airischwand-moechte-ein-neues-feuerwehrhaus-bauen-92110143.html?cmp=defrss,"Mon, 27 Feb 2023 12:00:00 +0100"
2949,M�nchner Merkur,Politischer Aschermittwoch in Memmingen: Freie Wähler unterhalten mit bissiger Ironie,"Memmingen – Am Politischen Aschermittwoch ziehen Parteien die Samthandschuhe aus und gehen mit der Konkurrenz hart ins Gericht. Das kann peinlich, plump, langweilig, fies oder lustig werden. Bei den Memminger Freien Wählern trafen dieses Jahr die beiden letzten Adjektive zu. In einem von Gottfried Voigt geschriebenen Kabarett ließen sie in leicht abgewandelter Form die vier Kandidaten für die nahende Oberbürgermeisterwahl, dargestellt von Freien Wählern, den Memminger Mau im Herzblatt-Format bezirzen – allerdings ohne Happy End.",https://www.merkur.de/bayern/schwaben/memmingen-kurier/politischer-aschermittwoch-in-memmingen-freie-waehler-unterhalten-mit-bissiger-ironie-92114609.html?cmp=defrss,"Tue, 28 Feb 2023 15:30:00 +0100"
3098,M�nchner Merkur,Politischer Aschermittwoch in Memmingen: Freie Wähler unterhalten mit bissiger Ironie,"Memmingen – Am Politischen Aschermittwoch ziehen Parteien die Samthandschuhe aus und gehen mit der Konkurrenz hart ins Gericht. Das kann peinlich, plump, langweilig, fies oder lustig werden. Bei den Memminger Freien Wählern trafen dieses Jahr die beiden letzten Adjektive zu. In einem von Gottfried Voigt geschriebenen Kabarett ließen sie in leicht abgewandelter Form die vier Kandidaten für die nahende Oberbürgermeisterwahl, dargestellt von Freien Wählern, den Memminger Mau im Herzblatt-Format bezirzen – allerdings ohne Happy End.",https://www.merkur.de/bayern/schwaben/memmingen-kurier/politischer-aschermittwoch-in-memmingen-freie-waehler-unterhalten-mit-bissiger-ironie-92114609.html?cmp=defrss,"Tue, 28 Feb 2023 15:30:00 +0100"
3152,Mittelbayerische Zeitung,Politischer Aschermittwoch: Freie Wähler liefern eine Bilanz zur Stadtratsarbeit,Zum traditionellen politischen Aschermittwoch haben sich auch die Waldmünchner Freien Wähler im Gasthaus Meier getroffen....,https://www.mittelbayerische.de/region/cham-nachrichten/politischer-aschermittwoch-freie-waehler-liefern-eine-bilanz-zur-stadtratsarbeit-20909-art2196875.html,"Fri, 24 Feb 2023 18:00:00 GMT"
3526,Mittelbayerische Zeitung,Freie Wähler im Raum Bruck-Nittenau buhlen um  engagierte junge Frauen,"Nach langer Covid-Pause konnten auch die Freien Wähler aus Nittenau, Bruck und Bodenwöhr wieder ihren politischen...",https://www.mittelbayerische.de/region/schwandorf-nachrichten/freie-waehler-im-raum-bruck-nittenau-buhlen-um-engagierte-junge-frauen-21416-art2197556.html,"Mon, 27 Feb 2023 16:00:00 GMT"
