,name_media,title,summary,link,published
437,Abendzeitung München,FDP will Habecks Heizungspläne stoppen,Im Baubereich hinkt Deutschland den Klimazielen weit hinterher. Nun konkretisieren sich die Pläne des Wirtschaftsministers für ein mögliches Gas- und Ölheizungsverbot. Von der FDP kommt scharfe Kritik.,https://www.abendzeitung-muenchen.de/mehr/geld/fdp-will-habecks-heizungsplaene-stoppen-art-883068,"Wed, 01 Mar 2023 09:23:17 +0100"
511,Abendzeitung München,Busse statt Auto-Parkplätzen: FDP fordert Verlegung des Busbahnhofs Studentenstadt,Der Busbahnhof Studentenstadt soll größer werden. Die FDP sieht die Pläne kritisch. Sie fordert eine Verlegung auf die Park&Ride-Anlage.,https://www.abendzeitung-muenchen.de/muenchen/busse-statt-auto-parkplaetzen-fdp-fordert-verlegung-des-busbahnhofs-studentenstadt-art-882760,"Mon, 27 Feb 2023 20:44:00 +0100"
634,BR,FDP hält Habecks Heizungs-Pläne für unrealistisch,"Berlin:
Die FDP hält ein Verbot für den Einbau neuer Öl- und Gasheizungen schon im kommenden Jahr für nicht machbar. FDP-Fraktionschef Dürr sagte dem Berliner ""Tagesspiegel"", dazu werde es nicht kommen. Auch Verbände des Handwerks und der Kommunen bezweifeln, dass ein solcher Plan realisierbar ist. Vize-Handwerks-Präsident Peteranderl sagte, es fehle an Personal und Infrastruktur, um das durchzusetzen. Nach Plänen des grün-geführten Wirtschaftsministeriums sollen schon ab 2024 nur noch Heizungen eingebaut werden dürfen, die zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Nach Einschätzung von Experten läuft das faktisch auf ein Verbot von Gas- und Ölheizungen hinaus.  (
BR24 Radio-Nachrichten 01.03.2023 10:45)",http://www.br.de/nachrichten/meldungen/index.html#n5,2023-03-01T11:05:22+01:00
784,BR,"""Letzte Generation"" unterbricht FDP-Veranstaltung in Würzburg","Aktivistinnen der ""Letzten Generation"" haben am Mittwochabend eine Veranstaltung der FDP gestört. Die beiden Aktivistinnen unterbrachen die Rede von Christian Dürr, dem Vorsitzenden der Bundestagsfraktion. Zuvor protestierten sie bei den Grünen.","https://www.br.de/nachrichten/bayern/letzte-generation-unterbricht-fdp-veranstaltung-in-wuerzburg,TWgHdf4",2023-02-23T11:45:28.894+00:00
3850,Nordbayerischer Kurier,Bloß keine Niederlage: FDP: Eine Partei in  Kampfeslaune,Die FDP gibt sich k&auml;mpferisch am Aschermittwoch. Schlie&szlig;lich will sie doch mal wieder in den bayerischen Landtag einziehen.,https://www.kurier.de/inhalt.bloss-keine-niederlage-fdp-eine-partei-in-kampfeslaune.02fcebe7-ef14-4aec-8267-00e0544c3d5b.html,"Wed, 22 Feb 2023 20:06:00 GMT"
4508,Süddeutsche Zeitung,Dachauer Hallenbad: ÜB und FDP fordern Kassensturz,<p></p>,https://www.sueddeutsche.de/muenchen/dachau/dachau-neubau-hallenbad-kosten-1.5759443,"Mon, 27 Feb 2023 20:51:38 GMT"
4541,Süddeutsche Zeitung,Freisinger FDP: Helmut Markwort zieht auf Platz fünf in den Landtagswahlkampf,"<img src=""https://www.sueddeutsche.de/image/sz.1.5759929/208x156"" alt="""" data-portal-copyright=""Florian Peljak"" /><p>Listenkandidat Timo Ecker aus Haag wird am Sonntag bei der Aufstellungsversammlung der Liberalen auf Platz 41 gewählt.</p>",https://www.sueddeutsche.de/muenchen/freising/freising-fdp-landtagswahl-markwort-1.5759928,"Tue, 28 Feb 2023 20:42:25 GMT"
4733,TZ,"Musikschulen in Bayern bekommen mehr Geld ‒ SPD, Grüne und FDP haben sich dafür eingesetzt","Eine Million Euro gibt es für Bayern Musikschulen. Grüne, FDP und SPD haben die Erhöhung der Fördersumme im Bayerischen Landtag auf den Weg gebracht.",https://www.tz.de/muenchen/stadt/hallo-muenchen/bayern-musikschule-foerderung-geld-spd-gruene-fdp-csu-kinder-92115237.html?cmp=defrss,"Tue, 28 Feb 2023 17:46:02 +0100"
