,name_media,title,summary,link,published
2678,M�nchner Merkur,„Wirtschaftsfeindlich und unsozial“: CSU rechnet mit Münchner Diesel-Verbot ab,Beim Fischessen der Münchner CSU stand vor allem das von der Rathaus-Mehrheit verhängte Diesel-Fahrverbot in der Kritik. Gegen die Entscheidung wurden auch gleich Unterschriften gesammelt.,https://www.merkur.de/lokales/muenchen/muenchen-csu-wettert-gegen-diesel-verbot-in-der-stadt-ztz-92111562.html?cmp=defrss,"Mon, 27 Feb 2023 22:12:43 +0100"
2781,M�nchner Merkur,Putin-Oligarch will vor Bundesverfassungsgericht seine Milliarden zurück – CSU-Größe vertritt ihn,Der Oligarch Alisher Usmanow steht durch den Krieg gegen die Ukraine auf der EU-Sanktionsliste. Dagegen will er nun vor dem Bundesverfassungsgericht klagen.,https://www.merkur.de/lokales/region-tegernsee/putin-oligarch-gauweiler-usmanow-tegernsee-rottach-egern-krieg-ukraine-csu-groesse-92115696.html?cmp=defrss,"Tue, 28 Feb 2023 22:02:00 +0100"
2895,M�nchner Merkur,Gräfelfinger CSU unter neuer Führung,"Gräfelfing – Es hatte sich bereits angedeutet, nun folgte der Vollzug: Bernd Ulshöfer, Vorsitzender des Gräfelfinger CSU-Ortsverbands, ist bei den Vorstandswahlen am Montag nicht wieder angetreten. Seine Nachfolgerin ist die 29-jährige Juristin Maximiliane Fischer. Bereits im vergangenen Sommer hatte Ulshöfer im Merkur-Gespräch offengelassen, ob er nach knapp zwei Jahren im Amt erneut kandidieren werde.",https://www.merkur.de/lokales/wuermtal/graefelfinger-csu-unter-neuer-fuehrung-92034752.html?cmp=defrss,"Wed, 18 Jan 2023 13:17:25 +0100"
2958,M�nchner Merkur,Politischer Aschermittwoch in Memmingen: CSU gibt sich selbstbewusst,"Memmingen - Während bei der Landes-CSU der politische Aschermittwoch groß und mit markigen Worten von Ministerpräsident Markus Söder gegenüber der Ampelkoalition in Passau gefeiert wurde, fiel die Veranstaltung der örtlichen CSU deutlich kleiner aus. Im Maximilian-Kolbe-Haus fanden sich nur etwa 60 Gäste zur Zusammenkunft ein.",https://www.merkur.de/bayern/schwaben/memmingen-kurier/politischer-aschermittwoch-in-memmingen-csu-gibt-sich-selbstbewusst-92113419.html?cmp=defrss,"Tue, 28 Feb 2023 08:00:00 +0100"
2999,M�nchner Merkur,Kriminalpolizist statt Erpresser: CSU Regensburg bricht mit amtierenden Landtagsabgeordneten,Die CSU Regensburg hat mit Jürgen Eberwein einen Kripo-Beamten zum Direktkandidaten für die Landtagswahl gekürt. Er soll auf den vorbestraften Erpresser Franz Rieger folgen.,https://www.merkur.de/bayern/regensburg/kriminaler-statt-erpresser-csu-regensburg-beendet-rieger-aera-92094912.html?cmp=defrss,"Sat, 18 Feb 2023 20:05:41 +0100"
3003,M�nchner Merkur,BR-Talk: CSU-Minister diskutiert mit Bürgern über Flüchtlingskrise in Bayern,In der BR-Sendung „jetzt red i“ diskutieren Politiker und Bürger über die Flüchtlingskrise in Bayern. „Wie schaffen wir das? Immer mehr Flüchtlinge in Bayern“ lautet das Thema am 15. Februar.,https://www.merkur.de/bayern/regensburg/heute-live-br-csu-spd-freie-waehler-fluechtlingskrise-bayern-herrmann-schweiger-92089792.html?cmp=defrss,"Wed, 15 Feb 2023 20:13:01 +0100"
3046,M�nchner Merkur,CSU-Mann Scheuer kritisiert AfD-Ergebnis und nennt Grund für seine Verluste: „Ich wurde unsanft angepackt“,Bundesverkehrsminister Andreas Scheuer kritisierte das Ergebnis der AfD in seiner Heimat Passau. Gleichzeitig fuhr er selbst Verluste ein und nennt dafür Gründe.,https://www.merkur.de/bayern/passau/bundestagswahl-2021-passau-csu-andreas-scheuer-kritik-afd-ergebnis-zr-91006000.html?cmp=defrss,"Tue, 28 Sep 2021 09:05:00 +0200"
3047,M�nchner Merkur,Bundestagswahl 2021 in Passau: Alle Stimmen ausgezählt - CSU klar vorne - AfD wird drittstärkste Kraft,In unserem Ticker verfolgen Sie die Bundestagswahl 2021 in Passau und Niederbayern am Wahltag live. Mit allen News rund um die Abstimmung und Ergebnisse.,https://www.merkur.de/bayern/passau/bundestagswahl-2021-passau-niederbayern-ergebnisse-news-live-ticker-91004602.html?cmp=defrss,"Sun, 26 Sep 2021 23:12:00 +0200"
3161,Mittelbayerische Zeitung,CSU beim Politischen Aschermittwoch: Bürger brauchen jetzt viel Geduld,Vor dem Aschermittwoch-Fischessen der CSU Furth im Wald stehen die Reden. Diesmal von einem „verzweifelten“...,https://www.mittelbayerische.de/region/cham-nachrichten/csu-beim-politischen-aschermittwoch-buerger-brauchen-jetzt-viel-geduld-20909-art2196618.html,"Fri, 24 Feb 2023 10:00:00 GMT"
3165,Mittelbayerische Zeitung,CSU schießt gegen Ampel-Regierung und sieht sich als Sprachrohr des ländlichen Raums,"Gut möglich, dass ihn der Besuch beim „großen“ politischen CSU-Aschermittwoch in Passau angestachelt hat: Denn...",https://www.mittelbayerische.de/region/cham-nachrichten/csu-schiesst-gegen-ampel-regierung-und-sieht-sich-als-sprachrohr-des-laendlichen-raums-20909-art2196626.html,"Thu, 23 Feb 2023 18:00:00 GMT"
